$/MWh,datetime
40.2,2023-01-04 21:30:00
40.19,2023-01-04 22:00:00
40.2,2023-01-04 22:30:00
40.29,2023-01-04 23:00:00
40.27,2023-01-04 23:30:00
40.21,2023-01-05 00:00:00
40.08,2023-01-05 00:30:00
40.07,2023-01-05 01:00:00
40.06,2023-01-05 01:30:00
40.01,2023-01-05 02:00:00
40.01,2023-01-05 02:30:00
40.01,2023-01-05 03:00:00
40.01,2023-01-05 03:30:00
40.0,2023-01-05 04:00:00
39.99,2023-01-05 04:30:00
40.05,2023-01-05 05:00:00
39.98,2023-01-05 05:30:00
39.98,2023-01-05 06:00:00
39.76,2023-01-05 06:30:00
37.26,2023-01-05 07:00:00
39.93,2023-01-05 07:30:00
38.71,2023-01-05 08:00:00
23.41,2023-01-05 08:30:00
28.41,2023-01-05 09:00:00
40.31,2023-01-05 09:30:00
41.36,2023-01-05 10:00:00
38.22,2023-01-05 10:30:00
28.33,2023-01-05 11:00:00
32.27,2023-01-05 11:30:00
35.63,2023-01-05 12:00:00
36.7,2023-01-05 12:30:00
39.43,2023-01-05 13:00:00
33.1,2023-01-05 13:30:00
38.8,2023-01-05 14:00:00
35.44,2023-01-05 14:30:00
41.51,2023-01-05 15:00:00
47.49,2023-01-05 15:30:00
70.84,2023-01-05 16:00:00
73.78,2023-01-05 16:30:00
69.64,2023-01-05 17:00:00
63.03,2023-01-05 17:30:00
48.43,2023-01-05 18:00:00
120.7,2023-01-05 18:30:00
83.4,2023-01-05 19:00:00
53.79,2023-01-05 19:30:00
46.65,2023-01-05 20:00:00
52.27,2023-01-05 20:30:00
53.32,2023-01-05 21:00:00
44.76,2023-01-05 21:30:00
40.37,2023-01-05 22:00:00
40.36,2023-01-05 22:30:00
40.35,2023-01-05 23:00:00
65.17,2023-01-05 23:30:00
47.17,2023-01-06 00:00:00
52.61,2023-01-06 00:30:00
43.19,2023-01-06 01:00:00
40.06,2023-01-06 01:30:00
40.22,2023-01-06 02:00:00
40.03,2023-01-06 02:30:00
40.0,2023-01-06 03:00:00
40.0,2023-01-06 03:30:00
39.95,2023-01-06 04:00:00
39.99,2023-01-06 04:30:00
40.04,2023-01-06 05:00:00
39.98,2023-01-06 05:30:00
39.96,2023-01-06 06:00:00
39.93,2023-01-06 06:30:00
40.12,2023-01-06 07:00:00
40.17,2023-01-06 07:30:00
52.21,2023-01-06 08:00:00
45.71,2023-01-06 08:30:00
50.92,2023-01-06 09:00:00
59.68,2023-01-06 09:30:00
66.21,2023-01-06 10:00:00
57.38,2023-01-06 10:30:00
64.03,2023-01-06 11:00:00
68.11,2023-01-06 11:30:00
69.68,2023-01-06 12:00:00
69.14,2023-01-06 12:30:00
66.51,2023-01-06 13:00:00
51.9,2023-01-06 13:30:00
59.74,2023-01-06 14:00:00
66.48,2023-01-06 14:30:00
71.07,2023-01-06 15:00:00
66.1,2023-01-06 15:30:00
71.69,2023-01-06 16:00:00
71.95,2023-01-06 16:30:00
75.83,2023-01-06 17:00:00
157.56,2023-01-06 17:30:00
70.58,2023-01-06 18:00:00
72.81,2023-01-06 18:30:00
68.1,2023-01-06 19:00:00
42.81,2023-01-06 19:30:00
40.1,2023-01-06 20:00:00
57.96,2023-01-06 20:30:00
63.12,2023-01-06 21:00:00
40.21,2023-01-06 21:30:00
40.22,2023-01-06 22:00:00
40.2,2023-01-06 22:30:00
40.22,2023-01-06 23:00:00
40.19,2023-01-06 23:30:00
44.15,2023-01-07 00:00:00
45.45,2023-01-07 00:30:00
39.98,2023-01-07 01:00:00
39.98,2023-01-07 01:30:00
39.97,2023-01-07 02:00:00
39.97,2023-01-07 02:30:00
39.83,2023-01-07 03:00:00
39.84,2023-01-07 03:30:00
39.97,2023-01-07 04:00:00
39.94,2023-01-07 04:30:00
39.95,2023-01-07 05:00:00
39.97,2023-01-07 05:30:00
39.98,2023-01-07 06:00:00
11.92,2023-01-07 06:30:00
25.93,2023-01-07 07:00:00
17.89,2023-01-07 07:30:00
4.85,2023-01-07 08:00:00
9.08,2023-01-07 08:30:00
28.67,2023-01-07 09:00:00
9.23,2023-01-07 09:30:00
6.13,2023-01-07 10:00:00
10.1,2023-01-07 10:30:00
14.84,2023-01-07 11:00:00
21.2,2023-01-07 11:30:00
28.42,2023-01-07 12:00:00
13.76,2023-01-07 12:30:00
13.79,2023-01-07 13:00:00
9.78,2023-01-07 13:30:00
9.31,2023-01-07 14:00:00
9.29,2023-01-07 14:30:00
0.46,2023-01-07 15:00:00
1.53,2023-01-07 15:30:00
9.63,2023-01-07 16:00:00
