Trading_Date,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2018-01-01,198.103951308624,198.2716807823319,195.75603323637526,192.970175108327,187.77618964464793,193.18632971376323,194.1416058356441,178.28315197762524,176.97037378473715,176.2590391389937,175.91740826175294,175.5951334067905,175.33784308932067,183.84565607331572,191.90366503093105,192.5592763692485,186.49385594064742,182.70716005124507,183.54734878299075,188.12131489211308,184.94833681130262,184.45657496374193,185.52826792382876,184.8320288947504,190.32789496300245,189.92493210346095,192.967037419746,184.65294537959835,185.71206421504408,171.83138595040114,155.92325419230437,154.22490685230204,165.22094707362763,164.7541696320214,164.24022888180062,162.13407812091265,163.44675577504506,164.756386970693,167.57622673214456,170.25311596335192,172.6101031346648,173.9703363256836,178.17388146974506,180.4769356265628,184.422992194018,190.20786116757733,194.2337736808249,198.2989619918756
2018-01-02,192.00843098733205,187.03033791979837,188.9187923603313,185.06594383969033,183.88357935970464,180.52832690152817,175.32956585279317,167.16342366225396,166.7729067674437,168.35581252741,173.40263543461788,174.6406490718196,182.23963928350267,193.34242463675773,197.29573205028467,187.85878883034772,181.80041337058512,178.2808755630924,174.652814693505,170.77374917709082,164.26801902002225,164.14375039706331,165.90423329851544,164.94392621554982,164.53463334609287,165.58828578535505,166.39264255481828,159.9320938855388,158.3702504952148,158.51592803353958,160.25585310299334,161.76261545389903,161.15071822537487,162.3986779776369,156.8919887490598,159.59885439538496,161.82475609698204,161.75556083092735,164.6232859509088,167.3328958306581,168.1953827109146,167.88213731958083,167.8015507417124,169.20446092292275,166.1939881376107,168.8736911199597,175.38287596141373,188.98894359722823
2018-01-03,179.39552504920934,174.6422817006983,171.95773069320097,164.1637379543056,164.87577119322546,162.96380398066734,161.2342280854649,140.44368987295027,138.99038935332362,141.93794671465048,152.40053344908213,160.3969089083068,152.55959904463785,159.33135244457947,154.22861614122317,164.1378500317341,166.13273638271716,161.59950062409163,159.0410107586762,157.49204351529343,157.18640737848048,164.46061406997583,163.41800834554417,163.38973039120756,163.4046699475065,163.9079992713573,164.24621196710675,165.69741840963997,165.22025188627836,164.48049627971986,164.59925103169266,163.6045694224752,160.81703357687982,161.12496665526436,161.54091224841613,162.5178259545571,157.54990538376936,157.0350857581293,155.30422732253885,158.32598263010252,165.93213958171577,163.57093878305332,163.57896632184838,159.00203691264417,164.25029099367447,175.40874650499845,178.91423604872702,186.44590192363947
2018-01-04,187.56953747100175,182.51298272409494,178.49248550507244,177.81059921107544,170.47956763680517,173.65563787013693,169.7202869130769,158.58019740143044,153.69804119565384,155.49615291374664,160.41031988110652,172.5998461092838,171.71925240553324,159.01660020805562,155.86221042762782,171.79044677501204,161.86812775654838,159.63798845568175,164.31789372674788,164.39374063735397,164.12993820233288,164.8746871063638,165.01580308592796,165.21175379686846,165.18437168824934,165.5668143575602,164.16561586443063,168.56889047310742,169.11001145005196,168.65890942693235,167.5880679013066,165.3333275334329,165.79724518992958,167.6690701333036,168.4584387101569,160.11054173890594,158.35122766413963,158.8356053804119,161.3166552555225,154.1582589450223,151.76409952007077,149.75758291292283,147.50901417061854,165.2106147521623,147.79015709847874,156.1518455221846,160.03439007723966,152.49974456253133
2018-01-05,135.36836918748105,132.12252817117826,125.52740842787014,125.17848007812759,123.90479451959011,122.24391913229694,119.86939654881868,111.19039141963972,109.79723726150593,108.77084701489032,104.79690839386673,112.91025666743658,106.97996984619448,113.4826061530673,113.7988516437127,110.16623782089125,120.18504720652952,119.5675951412408,118.24247035004547,122.29184330748657,117.77795509566673,114.34268060142936,112.63885833468828,111.54520257679464,111.90977895686696,112.85020846976579,112.02343530706085,116.3650283163959,116.7093180713222,117.35128480885054,118.45880051675834,123.09432428161875,134.64415151282452,143.88206605263227,144.23236696568637,144.93794523109327,145.3719943012434,148.39832621555482,149.8333170949314,145.76767906450516,143.6868585735641,144.2270131816337,144.96587790558115,139.11984439988788,159.41922154390403,170.59774455838232,170.14832092774557,162.88399568237924
2018-01-06,152.09321608755033,143.8083460161702,146.16064066423112,146.5843901719246,151.3895152064351,151.4079879357587,160.7002126615864,153.98063591941496,153.46637679304158,152.42200335223757,151.89573327025073,160.93583135598524,156.5276999916588,154.29357866562907,159.36811023817592,157.1587087481345,152.11389814853754,154.3024147706429,149.6338273675326,145.39943558184478,142.24761852571453,144.16692402471182,152.3426766262515,159.32679695094862,160.1936245509746,149.75240467316328,145.57720898177985,149.38498987809993,145.70332337607826,149.145716880727,148.3655193441207,145.84888803568327,145.2140960186414,151.70049616319986,151.00634901576464,151.9280823813481,152.7214062109851,152.9934305812735,150.13429191824758,151.12964461548748,148.327942867683,141.86411932258056,140.4625068198179,140.5622167746339,141.60066070105717,141.51974882301218,143.16697358113936,148.17180123315504
2018-01-07,149.18728987092422,137.31311490940266,136.21384258877373,136.27687837195404,133.0598715407095,135.0713658891522,136.14630115877173,133.8166055609262,133.3004001863695,132.5168006181725,131.46645894520324,130.10498813314916,134.54343899110037,131.92033044733532,137.08201611255438,137.25596387739063,137.67707804540748,141.0763320852554,138.73420244207992,137.24184403830046,138.52499621720403,144.74782139262848,142.53482756998434,142.53518233917492,143.47991186341136,141.00425288780636,140.7823372127798,145.20225141544645,144.0711272934491,145.48129296823637,145.40207384757264,139.82812059856084,140.3335681372378,138.88117445717918,137.36515006476867,135.76803163004058,135.2346436195359,135.5886461971492,136.9340693763283,140.37417287862337,141.79065577277802,141.445458405251,142.19874569347706,144.77177881717245,147.10527258455386,149.57534777340555,151.02006791845344,158.2059014493476
2018-01-08,159.59748808881724,158.06372189475866,158.68386747911495,163.38974329412838,157.06905950620379,156.98151515783618,157.51201674003508,150.02604235072778,152.4957730073853,153.71050169345327,160.4470174859518,168.28334127721823,176.4331957888104,181.86412030481944,175.91179280437171,173.75193133554336,175.18119094978076,175.81226419176625,170.14231683489731,168.02471808701412,172.3011113316906,187.8587574708479,191.89032440148932,198.0384680565723,199.9084780216992,194.20506120726083,189.94759808477704,191.98225177040501,193.9669873660535,193.5289915427646,192.87837178126833,199.1767127480655,199.32982933249195,199.09573414354134,204.33349256953667,207.31468342777754,206.6325950968295,207.51224312200802,205.14736872090992,210.23316910525784,214.80096388866477,213.4427861013876,214.96466144176597,214.2657326199886,217.60919861748224,212.79796925194046,209.18510875999758,204.3250587557581
2018-01-09,206.46001600951743,211.01032945456,210.7203092327672,201.36185330554326,191.4073136644729,193.20821815420481,195.05300477943777,193.56088368199696,191.09737863601902,191.54346506405938,187.1787854386693,176.38948890356397,172.45807808088497,176.8198985505138,186.80134063331798,194.64872392422845,203.06777223272422,195.64766374118182,198.645801820082,198.66948568429703,198.06912814664764,195.63240815385257,191.82231133190533,179.8590579782834,196.42130682050603,200.6562561881628,200.8849393126615,198.9277997656033,199.33922800107766,198.00767149035224,196.10681717971607,192.59880570155406,192.6038651335712,198.72926561007824,193.45498615891864,185.27758584037798,186.86372485717249,190.75124258180495,194.83748581739573,201.7153538266973,206.90717351993925,207.6458241793473,206.96483182101304,205.25333630504457,211.1409578150157,215.12418698991374,214.8678517790081,218.59050744180738
2018-01-10,217.54069949836284,222.23430108602832,223.6427774157959,219.85730648468828,212.06215933510805,209.12001314853043,207.02325236967081,200.65694123304212,197.72123412328017,198.7184320138359,198.17517573867374,203.27378709535952,212.89448320534612,213.49354499666552,206.00837313210556,196.62177041754464,194.48328274526423,193.5228536310774,190.30299369523485,189.42796446472502,191.2433346925263,190.04500423529666,193.76259735847555,193.43809024940427,193.9648337956056,194.9690589820563,195.07771430485218,194.39539455054773,195.23710186056826,195.3643508284505,194.9643111024671,193.90616303053363,194.3909792288789,193.60503382200096,192.56788615998036,194.56885537490538,196.33525751014173,199.53108957528391,203.47200233675358,209.0927553264382,209.30181419263116,199.48766027037817,187.39246394991866,186.77696622158228,192.3465356824899,195.9759861877556,204.3794113817695,206.27138105254238
